tweet	party
A great early result from a drug that will start tomorrow in New York and other places! #COVIDー19 …	1
WE CANNOT LET THE CURE BE WORSE THAN THE PROBLEM ITSELF. AT THE END OF THE 15 DAY PERIOD, WE WILL MAKE A DECISION AS TO WHICH WAY WE WANT TO GO!	1
The New York Times changed headlines 3 times in order to satisfy the Radical Left. What should have been a good story got “worse & worse”, until the headline alone made it very unfair. Fake & Corrupt News that is very dangerous for our Country!	1
THIS IS WHY WE NEED BORDERS!	1
STRONG & UNITED, WE WILL PREVAIL! GOD BLESS THE USA!!	1
Thank you @WalmartInc for taking extraordinary measures to support American workers. You are a shining example of American Greatness. #TogetherApart …	1
"We truly have the best volunteers.

Our grassroots army made a stunning 1.5 MILLION phone calls on Saturday alone.

In addition to highlighting @realDonaldTrump’s unprecedented efforts, they encouraged voters to visit @CDCgov’s website and follow guidance.

Thank you! #LeadRight"	1
" THREAD: President @realDonaldTrump took decisive action from the beginning to protect Americans from the Chinese coronavirus. 
 
While Democrats & the media were obsessed with impeachment, President Trump was focused on Americans' health.
 
Check out the timeline:"	1
"MSNBC at Coronavirus presser: You were not prepared in beginning of outbreak of virus. 

Trump: In the beginning when I halted flights from China it was your network that called me racist for doing so. 

He called them out like a boss"	1
Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was tested out of an abundance of caution due to his extensive travel and events. He was not aware of any direct contact with any infected person.	1
Chinese communist regime still claims only a couple of hundred people died in Tiananmen Square massacre. Why would anyone take COVID19 figures it puts out at face value?	1
"When Joe Biden eventually comes out of hiding, he needs to start answering questions about the deals that enriched his family while he served as VP--including via China. No BS prerecorded, edited interviews.

Real questions broadcast live.

Otherwise, he should drop out."	1
"Sen. Mitch McConnell is losing patience with Democrats (and Pelosi!) on the CARES Act, blaming them for ""fiddling with the emotions of the American people... the markets... healthcare of the American people."" He looks and sounds pissed. You don't see that from him most days."	1
"ENEMY OF THE PEOPLE. 

It's never been more clear... …"	1
"President Trump and NY Governor Cuomo are demonstrating to the nation how to work together--and leave the politics aside.

BOTH leaders are putting their citizens ahead of their political interests. 

Congress should take note."	1
"NEVER FORGET -- 

While Joe Biden was giving Hunter a ride to China on Air Force Two to close a $1.5 billion deal with our biggest threat, Trump was looking out for America. …"	1
Surprise!  Destruction of the economy leads to less traffic and pollution. …	1
WHO Spread False Chinese Government Propaganda: Coronavirus Not Contagious Among Humans …	1
"Laid-off workers cannot wait. Small Businesses cannot wait.

At @realDonaldTrump’s direction we’re working around the  w/ the Senate & WILL deliver relief to struggling Americans as we fight this virus. #InItTogether
@marcorubio @SenatorCollins @senatemajldr @stevenmnuchin1 …"	1
"Together we will win this war against coronavirus. 
 
“This has been a week of national action and of great national solidarity.” — @realDonaldTrump"	1
"President @realDonaldTrump: ""Governors, mayors, businesses, charities, and citizens are all working with urgency and speed toward one common goal, which is saving American lives."""	1
We encourage every American to listen to their state and local authorities and follow President @realDonaldTrump’s Coronavirus Guidelines so you can protect your health, protect your family’s health, and #slowthespread.	1
"Yesterday, President @realDonaldTrump spoke with 12,000 small businesses—the economic engine of our country.

The Trump Administration is doing everything within its power to support them and their employees."	1
President @realDonaldTrump signed legislation providing American workers with paid sick leave and paid family medical leave, at no cost to employers, and free tests for those that need it.	1
"""Democrats and Republicans in Congress are finding common ground and joining with President @realDonaldTrump in a bipartisan effort to respond to the surprise attack on our health and our economy by the #Coronavirus"" - 
@David_Bossie …"	1
"Great reminder from @realDonaldTrump:
 
“Every American has a role to play in defending our nation… Stay at home and save lives.”"	1
"Better be #Option2Bernie

If he means what he said, then he should fight with us

Joe Biden is a death sentence for US ALL

BIDEN 
WILL LOSE
TO
TRUMP 

FFS"	1
"Coronavirus or no coronavirus Preident @realDonaldTrump hands down should be re-elected based on his policies.

What a ridiculous thought not to vote for President Trump  because of a virus. His policies are still the best for the people & country.

Dem policies destroy the good."	1
@TheDemocrats hysteria will ruin the US.	1
.@SenJohnBarrasso to Neil: You have to be very concerned with your words and I'd expect much better from the Senate Minority Leader	1
.@SenJohnKennedy to guest host @cvpayne: Our economy is going to take a short-term hit from the COVID-19 outbreak, but I don't think it will be long-term	1
So true! …	1
Maintaining Freedom in America During Coronavirus Madness …	1
The Trump Administration is considering providing direct financial relief to individuals affected by the #coronavirus. Former Reagan Economist Art Laffer says a payroll tax cut would be a more helpful, longer-lasting #stimulus. What do you think? #COVID19 #Markets #VarneyCo	1
One major side effect of this economic free-fall is that oil and gas prices are at their lowest point in 18 years. Some areas are reporting prices of 99 cents per gallon. We asked Gas Buddy Analyst Patrick De Haan: How low will these prices go? #Gas #Oil #Energy #VarneyCo	1
That doesn’t sound like Michael, does it? …	1
"Excuse me, I want to interrupt the onslaught of negativity tonight and remind everyone there is no such thing as ""false hope.""

America is the result of so-called false hope.  Let's get it together and stay strong."	1
 … join us @SundayFutures @FoxNews 10am et live @marcorubio @WhiteHouse peter Navarro @JNJNews ceo Alex Gorsky, @DHS_Wolf @WarRoom2020  big show.  Much to discuss #ChineseWuhanVirus	1
LIVE: Press Briefing with Coronavirus Task Force …	1
Steve is one of the very best in the Senate. He is competing against a failed Democrat Presidential candidate who never got close to 1%, and was sent packing. Had to be talked into this run by Schumer. Bad for 2nd A! I strongly Endorse @SteveDaines! …	1
People are facing challenges all across the country. I sat down with @ShannonBream tonight to discuss how Congress is working to provide immediate relief for American workers and families as we combat the #coronavirus.	1
The Senate remains in session this week working to pass monumental legislation to combat the Coronavirus & help the American people. In the meantime, please visit my website for helpful information & resources related to COVID-19:  …	1
Do you know the symptoms of #COVID19? Difficulty breathing, persistent pain or pressure in the chest, confusion, bluish lips or face, fever, & cough. @CDCgov has a full list of symptoms and you should call your doctor if you are experiencing these.  …	1
#Telehealth is a valuable tool to provide care & protect people in this #COVID19pandemic. Pleased @realdonaldtrump & task force are making it more accessible to #FlattenTheCurve. @UMMCtelehealth is a leader in this field. Learn more:  … @CMSGov	1
It is my intention that the Senate will not adjourn until we have passed significant and bold new steps, above and beyond what the House passed, to help our strong nation and our strong underlying economy weather this storm.	1
Everything we’re doing right now is time-sensitive. Just left lunch with @SenateGOP & @StevenMnuchin1. We’re working as aggressively as possible to put together a plan that addresses the health care and economic needs Americans have right now.	1
We need to provide real relief to American workers who have been impacted by #COVID19, and we need to do it right now.	1
"Made good progress on getting  into the hands of small businesses so they don’t have to lay off their workers.

Senate isn’t leaving DC until we address the house passed bills and additional measures to help with #Covid_19"	1
"Conference Chairman @SenJohnBarrasso:

It is the millennials who will make the difference in slowing the spread of this disease.

Social distancing is so very important."	1
A Great Guy! …	1
"“Republicans and Democrats are coming together”

More from @SenToddYoung "	1
Attention Idaho small business owners If your business has been disrupted or impacted by coronavirus, fill out a form with Idaho Commerce now. This will help expedite the disbursal of #COVID19 economic disaster loans to small businesses in #Idaho. 	1
Earlier today, I spoke with other members of @SmallBizCmte about the next steps we’re going to take to ensure our local employers—like so many across #Iowa—receive the relief & support they need in an efficient & effective way.	1
ICYMI: This afternoon, I held a Facebook town hall to discuss our response to the coronavirus.	1
"What is social distancing and why does it matter?

More from @SenCapito "	1
"""In the fight against the coronavirus, the Trump administration is not just taking a whole of government approach, but a whole of America approach.""

More from @VP in @USATODAY "	1
2day the Senate is expected to vote on the bipartisan House bill to provide relief to workers affected by coronavirus I’m also working w my colleagues to address health care & tax/economic issues facing Iowans + all Americans during the coronavirus outbreak as Finance chairman	1
A huge part of Colorado’s economy relies on restaurants and hospitality. I’m working to help Congress recognize how these businesses make ends meet and work quickly to provide real relief to workers and business owners. …	1
LIVE: Press Briefing with Coronavirus Task Force …	1
Thank you to our great American businesses for going above and beyond to keep our most vulnerable citizens safe! …	1
We will be, by mutual consent, temporarily closing our Northern Border with Canada to non-essential traffic. Trade will not be affected. Details to follow!	1
....Also, according to the Daily Caller, leading Sleepy Joe Biden in Florida, 48% to 42%.	1
95% Approval Rating in the Republican Party, 53% overall. Not bad considering I get nothing but Fake & Corrupt News, day and night. “Russia, Russia, Russia”, then “the Ukraine Scam (where’s the Whistleblower?)”, the “Impeachment Hoax”, and more, more, more....	1
The DNC will have gotten their fondest wish and defeated Bernie Sanders, far ahead of schedule. Now they are doing everything possible to be nice to him in order to keep his supporters. Bernie has given up, just like he did last time. He will be dropping out soon! MAGA/KAG	1
I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!	1
I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!	1
I will totally protect your Medicare & Social Security!	1
For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!	1
Everyone can help prevent the spread of #COVID19. Call your doctor if you develop symptoms, have been in close contact with a person known to have COVID-19, or have recently traveled from an area with widespread or ongoing community spread of COVID-19.  	1
#NIH has today launched a Phase 1 #clinicaltrial evaluating a vaccine candidate for #coronavirus #COVID19. This trial is enrolling 45 healthy adult volunteers in Seattle & is the first of multiple steps for evaluating the potential benefit of the vaccine. 	1
Launched in record speed, #NIH started enrollment for a Phase 1 #clinicaltrial of an investigational vaccine for #COVID19 for healthy adults in the Seattle area. #coronavirus  …	1
The National Library of Medicine at #NIH is proud to be working with @WHOSTP and others to make #coronavirus-related data available to the widest possible audience. #COVID-19 …	1
As part of the #NIH response to #COVID19, NIH’s @nlm_news is working with @WHOSTP and others to make #coronavirus-related data available to the widest possible audience.   …	1
Today, FDA took two additional significant diagnostic actions during the #COVID19 outbreak by issuing two Emergency Use Authorizations (EUAs).  …	1
News: New #coronavirus stable for hours on surfaces  … #COVID19	1
Feelings of anxiety and uncertainty are completely normal during times like this. If you need support coping with the events of the last few weeks, read @NIMHDirector's blog for help coping with #COVID2019:  	1
Thanks for your support following the launch of an investigational vaccine for #COVID19. We are proud of our hardworking #NIH community for making it happen in record time. Their dedication results in small miracles every day to keep this country healthy #NationalInstitutesofHope …	1
#COVID19 is an emerging, rapidly evolving situation. Learn about the basics like symptoms & what to do if you are sick; and see the latest info from @CDCgov on #NIH’s page:   … #coronavirus	1
The world is at war with a hidden enemy. WE WILL WIN!	1
"A major #telehealth announcement by @POTUS regarding ""a dramatic expansion of our Medicare telehealth services"": patients can ""now visit any doctor by phone or videoconference at no additional cost,"" including #FaceTime/#Skype. Connected care is critical! …"	1
".@realDonaldTrump has taken decisive action to combat Coronavirus:

– Stopped flights early
– Partnered w/ the private sector to expand testing
– Declared national emergency to free up resources

No country is better equipped to beat this virus. We will overcome this together. "	1
"To all of our doctors, nurses, first responders, and public safety officers fighting on the front lines: Thank you.

In a time of uncertainty, we are grateful for your tireless work to keep us healthy and safe! #COVIDー19"	1
"Follow these coronavirus guidelines from the @WhiteHouse to keep our families and communities safe:
 Practice Social Distancing
 Listen to state and local authorities
 If you feel sick, stay home
 If you are in a high-risk group, stay home and away from others"	1
"America has faced big challenges before, and we will get through this together. Please stay vigilant and follow @CDCgov’s advice.

Take extra precautions. 
Wash your hands often.
Practice social distancing.

#coronavirus #COVID19 #StopTheSpread"	1
"Everyone of us has a critical role to play in slowing the spread of #coronavirus. 

 Wash your hands and practice good hygiene 
 Avoid large groups
 Stay home when you are sick"	1
The White House Coronavirus Task Force and @realDonaldTrump announced new guidelines every American should follow to save lives and reduce the impact of the coronavirus outbreak. We must do our part to limit the spread of the virus.	1
"As you take precautions to avoid the #Coronavirus, take steps to help prevent your devices from catching viruses too.
 
Click below for @FTC resources on how to avoid scams and keep your devices secure as you work remotely: "	1
"GREAT news for seniors on Medicare → You can now stay home and see any doctor licensed in your state using FaceTime, Skype, or use other audiovisual technology. 

This is a big deal. It will save lives. "	1
Through the 1135 waiver, #Medicare beneficiaries, who are at higher risk for #COVID19, will be able to receive a specific set of services through telehealth including common office visits, mental health counseling and preventive health screenings.  …	1
We've partnered with @BaylorCoHP, McLane Global & @PepsiCo to provide 1 MILLION MEALS PER WEEK to rural children in response to the Coronavirus. Food boxes will contain 5 days worth of shelf-stable, nutritious, individually packaged foods. MORE:  …	1
"We MUST #FlattenTheCurve of the spread of coronavirus.
 
Social distancing, closing schools, limiting non-essential businesses – all of these measures will have a huge impact on all of us. But the price will be MUCH greater if we do nothing."	1
Today we continued to take proactive steps as part of our ongoing preparations for #COVID19. We've been blessed in #WV to not have any positive cases yet. But we all need to know the seriousness of this continues to be real. READ MORE: 	1
"As Louisianans, we must practice social distancing to slow the spread of COVID-19, flatten the curve and help keep everyone safe. 

Eat at home 
Keep six feet between you and others
Avoid large crowds
Restrict non-essential travel
Avoid handshakes 

#lagov #lalege"	1
Get the latest CDC guidance on mass gatherings and large community events,   or head to the Missouri Department of Health and Senior Services (DHSS) website at  .	1
.@POTUS just released further recommendations regarding #COVID19. Please help spread this important information. Remember, if you feel sick, stay home.  Do not go to work. Contact your medical provider. @ALPublicHealth @CDCgov #alpolitics …	1
We’re asking every American to partner with us in the effort to combat the Coronavirus and be mindful of our vulnerable senior population. We are all in this together.	1
All of our health experts agree, you do not need the results of Coronavirus testing to know what you should do. Every American in every community should be following President @realDonaldTrump’s Coronavirus Guidelines. #slowthespread	1
We applaud private-sector businesses for creating seniors-only shopping times! 	1
LIVE: Press Briefing with Coronavirus Task Force …	1
Federal Government is working very well with the Governors and State officials. Good things will happen! #KILLTHEVIRUS	1
Failing  Michigan Governor must work harder and be much more proactive. We are pushing her to get the job done. I stand with Michigan!	1
"President Trump’s decision to declare a national emergency over the #coronavirus pandemic is the right call.  

It will free up much needed resources and allow for a more flexible and aggressive response."	1
"Really appreciate the efforts of Dr. #Fauci. He has become a national treasure just like ALL of our healthcare workers throughout the U.S. 

God bless them all for the risks they take and all the hard work they do to keep us safe and healthy. 

You are all heroes! 
  "	1
Social distancing can help slow the spread of #COVID19 in affected communities. This means avoiding crowded places and maintaining distance from others. More prevention tips:  .	1
Avoid eating out. Use carry-out, drive-thru, and delivery options.	1
Help make the next 15 days count and avoid social gatherings of more than 10 people.	1
Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....	1
#UPDATE The first human trial to evaluate a candidate vaccine against the new coronavirus has begun in Seattle, US health officials said Monday, raising hopes in the global fight against the disease 	1
The Jewish case for President Trump …	1
Democrat Party-press wrong and disappointed …	1
The debate tonight is hardly a debate at all. Biden has largely moved hard left where there are now relatively few differences between the two.	1
It’s amazing how hospitable the moderators are to the Democrat Party’s leftwing agenda.  Thus far, absolutely no serious challenges whatsoever. Indeed, the opposite.  A love fest of radical progressivism.	1
Leftist math genius caught in another FAIL over lying about Trump’s comments to governors to make him look bad  	1
Dan Bongino and Others Call out NYT Editor for Altering Trump Quote From Conference Call With Governors …	1
It’s pretty hilarious that the NY Times thinks we’re not gonna fact-check everything they say and type, give their propensity for lying.  …	1
A simple truth. …	1
I ask all Americans to band together and support your neighbors by not hoarding unnecessary amounts of food and essentials. TOGETHER we will stay STRONG and overcome this challenge!	1
Yesterday I spoke with the great American Grocers and Supply Chain Executives. We are confident that supply will continue to meet demand nationwide. These beacons of our community will remain open for you, no matter what. We are working hard to remove any barriers to that effort!	1
Just had a  very good tele-conference with Nation’s Governors. Went very well. Cuomo of New York has to “do more”.	1
Everybody is so well unified and working so hard. It is a beautiful thing to see. They love our great Country. We will end up being stronger than ever before!	1
God Bless the USA!	1
"Joe Biden is a train wreck on illegal immigration and would harm national security.

He’d have ZERO deportations for the first 100 days INCLUDING CRIMINALS and after that deport only felons.

Trashes the rule of law and makes us less safe.

Insanity!"	1
"Joe Biden would set an extreme and dangerous course on illegal immigration.

Wouldn’t deport anyone except convicted felons.

Says local police should not cooperate with ICE.

In Biden’s America, EVERY city is a sanctuary city."	1
"Sleepy Joe is SO CONFUSED. Joe has...

- Called the coronavirus “SARS”

- Called the coronavirus the “swine flu”

- Called the H1N1 virus the ""N1H1""

- Forgot the name of the Ebola virus, describing it as “what happened in Africa”

Joe is SO LOST!"	1
Thank you @realDonaldTrump for your leadership. The task force is tackling real national security issues that not only deal with COVID19 but go far beyond. Praying for you and our great nation …	1
Not a criminal like those who tried to coup a duly elected president and overturn an American election. @SidneyPowell1 has done a remarkable job of exposing the truth	1
Absolutely @realDonaldTrump !  This has been such an injustice to Gen. Flynn, his family and the American people  - the overall malfeasance in his case is inexcusable and quite the coincidence to cover up the FBI and DOJ misdeeds that they lose the records. Flynn is a patriot …	1
The individual Governors of States, and local officials, must step up their efforts on drive up testing and testing sights, working in conjunction with @CDCgov and the Federal Government!	1
"“We appreciate the support of government officials and industry partners and thank the Google engineers who have volunteered to be part of this effort."""	1
"Statement from Verily: ""We are developing a tool to help triage individuals for Covid-19 testing. Verily is in the early stages of development, and planning to roll testing out in the Bay Area, with the hope of expanding more broadly over time."	1
The Fake and Corrupt News never called Google. They said this was not true. Even in times such as these, they are not truthful. Watch for their apology, it won’t happen. More importantly, thank you to Google! …	1
So now it is reported that, after destroying his life & the life of his wonderful family (and many others also), the FBI, working in conjunction with the Justice Department, has “lost” the records of General Michael Flynn. How convenient. I am strongly considering a Full Pardon!	1
Can’t believe they are not going after Schumer for the threats he made to our cherished United States Supreme Court, and our two great Justices. If a Republican did that, there would be an endless price to pay. Pathetic!	1
....The USA was never set up for this, just look at the catastrophe of the H1N1 Swine Flu (Biden in charge, 17,000 people lost, very late response time), but it soon will be. Great decision to close our China, and other, borders early. Saved many lives!	1
There will be a News Conference by the CoronaVirus Task Force today at the White House, 5 P.M. @VP  We are working closely with the Governors of our Country’s great States, which are a very big factor. They are working hard, along with us, to get the job properly done.....	1
We are doing very precise Medical Screenings at our airports. Pardon the interruptions and delays, we are moving as quickly as possible, but it is very important that we be vigilant and careful. We must get it right. Safety first!	1
I am watching a great and beautiful service by Pastor Jentezen Franklin. Thank you! @Jentezen	1
TODAY IS A NATIONAL DAY OF PRAYER. GOD BLESS EVERYONE!	1
Great Job by Judicial Watch. Potentially a treasure trove. Too bad you are not given more help, but it will all work out! …	1
This took place in the Rose Garden, just coming out of a cold Winter! …	1
To unleash the full power of the Federal Government in this effort, today I am officially declaring a National Emergency.	1
"Real leadership:

-Working with the private sector for solutions
-Launching a screening website
-Initiating drive-thru testing

AND topping off the Strategic Petroleum Reserve when prices are low."	1
We will remove or eliminate every obstacle necessary to deliver our people the care they need. No resource will be spared!	1
At my request, effective midnight tonight, Carnival, Royal Caribbean, Norwegian, and MSC have all agreed to suspend outbound cruises for thirty days. It is a great and important industry – it will be kept that way!	1
Americans are the strongest and most resilient people on earth...We will remove or eliminate every obstacle necessary to deliver our people the care that they need, and that they are entitled to. No resource will be spared.	1
To those families and citizens who are worried and concerned for themselves and their loved ones, I want you to know that your Federal Government will unleash every authority, resource and tool at its disposal to safeguard the lives and health of our people.	1
Amazing how the Fake News never covers this. No Interest on Student Loans. The Dems are just talk! …	1
